,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
34,emprego,0.0012752302781102109,0.004551542851119621,7.438040364225977e-06,-1.175414981248038e-05,7.438040364225977e-06,1.175414981248038e-05,0.0,0.0
10,candidatos,0.0012835522768794372,0.012989075797343888,1.550529976570319e-05,-0.000761117760587722,1.5511726236009153e-05,0.000761117760587722,0.0,3.150506220284642e-05
41,evento,0.001311973012408679,0.011500427240284852,5.212985455051485e-05,3.2917941291783853e-06,0.00010951760666687967,4.1430345181097343e-05,0.0,0.0
37,ensina,0.0013144803281935785,0.0029213283258834434,0.0,0.0,0.0,0.0,0.0,0.0
1,aluno,0.00133422043164949,0.007173882739211905,4.19237966461666e-05,-2.471130508212986e-05,4.1952351737567215e-05,2.471130508212986e-05,0.0,0.0
61,m²,0.001345447472093943,0.013532142953021626,6.769012510848177e-06,-1.4893626160075658e-05,6.769012510848177e-06,1.4893626160075658e-05,0.0,0.0
45,fonte,0.0014164494682751877,0.005199233770008498,0.0,0.0,0.0,0.0,0.0,0.0
49,gastronomia,0.001436364397694878,0.00834082435567862,8.590777730153793e-06,-7.361333295110742e-06,8.910187379299932e-06,7.361333295110742e-06,0.0,0.0
51,hospital,0.0014678775419297825,0.00862067006707682,0.00013576023383837896,-5.0338556332819634e-05,0.00013576023383837896,5.0338556332819634e-05,0.0,0.0
3,ambiental,0.001470312368832391,0.005952541424929094,7.500426921866479e-05,-1.3106162958081444e-05,7.500443188531735e-05,1.3267918448065084e-05,0.0,0.0
42,facebook,0.001474025951626571,0.015426646346842578,5.3335799089256065e-05,-2.0902285212216896e-06,6.106440208163036e-05,2.183483626607973e-05,0.0,0.0
26,diz,0.001493140440869079,0.011887772481238523,-4.452567664356221e-05,0.000122398776962927,9.505034551631396e-05,0.00018002330898163137,0.0,0.0
0,afirma,0.0015400997684617778,0.00882832585757954,0.00011442451212651677,3.227157277641938e-05,0.00017336228286231792,0.00021105000735885707,0.0,0.0
97,viagens,0.0015406486986449272,0.0075669786194976305,4.691888483102756e-05,2.270263511265483e-06,4.691888483102756e-05,1.3381404599291814e-05,0.0,0.0
27,dna,0.0015438209103148868,0.008115487572149421,-0.0001206477988987895,1.3462985632596377e-06,0.0001206477988987895,1.536367057144593e-06,0.0,0.0
63,organização,0.0016103405691236146,0.008223752692959538,4.4511178663674785e-05,-1.617127250680669e-05,4.4511178663674785e-05,1.617127250680669e-05,0.0,0.0
46,food,0.0016217962867451491,0.0050886819097926755,1.3648046702343406e-05,-4.571447069592707e-06,1.3648046702343406e-05,4.571447069592707e-06,0.0,0.0
76,receitas,0.0016581505056354156,0.005655313478458312,5.6648425012751796e-05,-2.7769078658677985e-06,5.692873238364715e-05,2.7769078658677985e-06,0.0,0.0
86,trabalho,0.001676899753107961,0.009152148314416395,7.233878199664158e-06,0.00012979513782534612,3.659246252843308e-05,0.00013111006794708647,0.0,0.0
21,câncer,0.0017664596923777961,0.012988125824413967,9.387903702136183e-05,-5.6636444599637716e-05,9.387903702136183e-05,5.6636444599637716e-05,0.0,0.0
54,infecção,0.001772657660831146,0.006116011221405913,7.098729003654757e-05,-0.0005687251009169178,7.098729003654757e-05,0.0005722309783434891,0.0,0.0
65,paciente,0.0017752623954539217,0.007756241212208702,0.0,-0.0031213423945715773,0.0,0.0031213423945715773,0.0,0.0001043992758390901
93,usuário,0.0018988063305710868,0.007141827171731922,7.322380575471549e-06,-0.0031145585434184833,7.322380575471549e-06,0.0031205764324818636,0.0,0.0002688205870680794
80,smartphones,0.0019296531561032444,0.008895573164511832,1.0919691882315856e-05,-0.0011415085923540099,1.0919691882315856e-05,0.001197341542597917,0.0,0.00010056346184016476
58,microsoft,0.0019637675852119405,0.013137081177771787,5.046017463733257e-05,-0.00206041440638277,5.046017463733257e-05,0.00206041440638277,0.0,0.00019055537043858456
33,empreendedorismo,0.001995449139056457,0.009727448711705002,9.331187401644898e-06,-5.338232124262233e-06,9.331187401644898e-06,5.338232124262233e-06,0.0,0.0
5,apartamento,0.002060500842369509,0.004914706840610991,1.3474600830617206e-05,-1.193478686816353e-07,1.3474600830617206e-05,1.193478686816353e-07,0.0,0.0
55,iniciativas,0.0020633731587748508,0.00714965759015239,1.5855356429764104e-05,-8.387588397403015e-06,1.5855356429764104e-05,8.387588397403015e-06,0.0,0.0
36,enem,0.002083769129208418,0.016450213286514335,8.124440149987587e-07,-0.0006121622224809375,8.124440149987587e-07,0.0006121622224809375,0.0,1.6202093008427232e-05
72,praia,0.002211432991974782,0.010776268551078624,1.4354194329519236e-05,-8.005387506085265e-06,1.4354194329519236e-05,8.005387506085265e-06,0.0,0.0
24,destinos,0.00222914611994864,0.004736421699496262,8.90245889499743e-06,-2.5362087276683145e-06,8.90245889499743e-06,2.5362087276683145e-06,0.0,0.0
99,zaremba,0.0023303623923503296,0.0024015582199897103,0.0,0.0,0.0,0.0,0.0,0.0
92,us,0.0023462889235415034,0.01744256176739034,0.00032612780733947165,-0.00012693974484803133,0.0003261873316295908,0.00012693974484803133,0.0,0.0
19,conservação,0.0023764369886063504,0.006393704581329122,1.4569325720407743e-08,0.0,1.4569325720407743e-08,0.0,0.0,0.0
84,tecnologia,0.0024442044829124446,0.011050385615492658,0.00011147026890137754,-0.00010902011175847709,0.00022744504933390009,0.00011078302459120268,0.0,0.0
20,cozinha,0.002521244692982866,0.010976597309943503,1.2355892145869412e-05,-4.907592472020449e-05,1.2355892145869412e-05,4.919115033148303e-05,0.0,0.0
59,molho,0.0025249766713821126,0.0038668612801291487,3.0934261024377594e-05,0.0,3.0934261024377594e-05,0.0,0.0,0.0
22,descoberta,0.0025454630225224674,0.004787648934457831,-0.00019814245935246698,0.00015875478152613332,0.00021034242596192415,0.00015875478152613332,0.0,0.0
25,disse,0.002582926458252167,0.012216827398053876,0.00022771970067819334,-0.00011932892262273617,0.00030794633259271316,0.0005521366811477546,0.0,0.0
89,turista,0.002589129900732128,0.004403860469425177,6.803745948905924e-07,-4.300503324237815e-07,6.803745948905924e-07,4.300503324237815e-07,0.0,0.0
53,hotéis,0.0026066902906173015,0.007291885175963041,1.9014357432864872e-05,-0.0020146635117202563,1.9014357432864872e-05,0.002015058366852521,0.0,0.00012613166216042873
48,games,0.002610037001200647,0.010265132804533571,1.0591492459044217e-05,-5.636553663755403e-07,1.0591492459044217e-05,5.636553663755403e-07,0.0,0.0
91,universidade,0.0026370229792645216,0.01291575181488301,-0.0006922653742887387,0.0015789625156348908,0.0009668982870736631,0.0017431684722317069,0.0,0.000429103524103947
75,rangel,0.0026949990893643896,0.002112347859550921,6.329918559591882e-06,0.0,6.329918559591882e-06,0.0,0.0,0.0
15,científica,0.0027247025223307757,0.0048344639967037644,-0.00026440334526726104,2.347324259197415e-05,0.00026440334526726104,2.347324259197415e-05,0.0,0.0
8,atrações,0.002757395046917702,0.005516844910812519,4.662117376858443e-06,-0.0015818077596180648,4.662117376858443e-06,0.0015818077596180648,0.0,6.723185128609983e-05
9,biodiversidade,0.0027927308981537447,0.004722199164929519,1.8528751135575525e-05,-0.006903599188877555,1.8528751135575525e-05,0.00692092906354091,0.0,0.0002601048067085651
23,desmatamento,0.002874556371375648,0.010248153555284275,0.0,-0.010179277477487465,0.0,0.010591527144522418,0.0,0.00029214129958158967
74,prêmio,0.0028908558379300516,0.012796507384397731,-2.0637851924834744e-09,0.0017383166349291938,2.0637851924834744e-09,0.0017383166349291938,0.0,0.0
7,aquecimento,0.0029226570268666655,0.0070771251348684654,3.206413099113243e-07,2.1394179049851872e-05,3.206413099113243e-07,3.4514993056102514e-05,0.0,0.0
16,ciência,0.0029612297363995075,0.011660392318834254,-0.0006155678528107475,0.0005361792197218827,0.0006155678528107475,0.0005361792197218827,0.0,0.0
67,party,0.0034087657579510125,0.00630476577797551,0.0,-8.060523237774284e-05,0.0,8.060523237774284e-05,0.0,0.0
12,chefs,0.003616361851645209,0.009927268539770264,4.233685373531929e-05,-0.0004867727894908472,4.233685373531929e-05,0.0005813744017592003,0.0,2.1341735339253272e-05
69,passeio,0.003733305577903964,0.005440987937870124,3.298314324728158e-06,-0.0031477797004390686,3.298314324728158e-06,0.0031479962175504196,0.0,0.0002410538474485538
62,médico,0.0037943841369111296,0.007648082127545083,0.00018483546636635718,-6.617028474427988e-05,0.00019317477705359145,7.299584687031781e-05,0.0,0.0
57,leia,0.0038516811655471966,0.010749353800516236,-0.0011798196528593945,0.0002905250929639751,0.0011819753694621577,0.0002906368307120128,0.0,0.0
68,passageiros,0.0038794779895109967,0.0073154750868736195,9.529257988498555e-05,-2.432583437374958e-05,9.529257988498555e-05,2.432583437374958e-05,0.0,0.0
64,organizações,0.003952855065160441,0.0077901735616070205,0.0003080988651110123,-0.00013432551003094524,0.0003080988651110123,0.00013432551003094524,0.0,0.0
4,anvisa,0.003963173832348259,0.008645254496779156,3.947841821052382e-07,-9.569278503231508e-05,3.947841821052382e-07,9.569278503231508e-05,0.0,0.0
13,cidade,0.004092143001130424,0.010675258209289322,0.0002749137951262917,-0.00022684203578941903,0.0002774966651404949,0.0002819549207005324,0.0,0.0
78,sabor,0.00431813674967079,0.004344907816033846,1.1469067139658167e-05,-7.282617043298605e-05,1.1469067139658167e-05,7.282617043298605e-05,0.0,0.0
85,tel,0.00444811500150912,0.009136309396607676,6.599746682403829e-05,-2.5394255302354424e-06,6.599746682403829e-05,2.5394255302354424e-06,0.0,0.0
77,restaurante,0.004477322876336426,0.011755602105384122,5.298686811588136e-05,-6.114714231740806e-05,6.124091842493538e-05,7.079409824631402e-05,0.0,0.0
87,tratamento,0.004483083180000514,0.008859611988537413,0.00016021240912193847,-4.7499416776036867e-05,0.00016021240912193847,4.7499416776036867e-05,0.0,0.0
47,game,0.004517967556185648,0.006782946846456219,2.5906775604915836e-05,-4.589171495909502e-10,2.6040371266196424e-05,4.589171495909502e-10,0.0,0.0
60,museu,0.0048063206861663895,0.010722016503388698,0.00018720448644403724,-0.00015073904314077065,0.00018774253728579227,0.00015078934544537884,0.0,0.0
83,tec,0.0050551129763673625,0.011758392108144434,0.0,0.0,0.0,0.0,0.0,0.0
18,companhia,0.005543399875417307,0.010769172264855112,0.0003158620363628679,-0.00016487520325982407,0.0003159537891120589,0.00016489955338059225,0.0,0.0
